generation,average,median,best
134.0,0.9756380952380951,0.9783333333333333,0.9923809523809525
135.0,0.9633428571428572,0.9771428571428572,0.9938095238095238
136.0,0.9724857142857144,0.974047619047619,0.9904761904761905
137.0,0.9751238095238094,0.9773809523809525,0.9919047619047618
138.0,0.9754952380952379,0.9773809523809522,0.991904761904762
139.0,0.9783428571428572,0.9797619047619048,0.9933333333333333
140.0,0.9757333333333332,0.9776190476190476,0.9928571428571429
141.0,0.9782285714285713,0.98,0.9914285714285714
142.0,0.9767619047619047,0.9797619047619048,0.9914285714285714
143.0,0.9779714285714286,0.98,0.9928571428571429
144.0,0.9762285714285713,0.9788095238095238,0.9942857142857143
145.0,0.9760666666666669,0.9771428571428572,0.9933333333333333
146.0,0.9721238095238094,0.9776190476190476,0.9933333333333333
147.0,0.9764571428571429,0.9797619047619048,0.9909523809523809
148.0,0.9805047619047619,0.9819047619047618,0.9938095238095238
149.0,0.9748380952380952,0.9759523809523809,0.9928571428571429
150.0,0.9758095238095238,0.9797619047619048,0.9938095238095238
151.0,0.9793619047619048,0.9814285714285715,0.9933333333333333
152.0,0.9794857142857143,0.9816666666666667,0.9928571428571429
153.0,0.9600380952380952,0.9797619047619046,0.9942857142857143
154.0,0.9732761904761905,0.9752380952380952,0.9938095238095238
155.0,0.9794952380952381,0.9821428571428572,0.9938095238095238
156.0,0.9766666666666667,0.9785714285714286,0.9933333333333333
157.0,0.9787047619047619,0.9795238095238096,0.9971428571428572
158.0,0.9779238095238095,0.9792857142857143,0.9961904761904762
159.0,0.9734952380952382,0.9769047619047619,0.9938095238095238
160.0,0.9751047619047619,0.9792857142857143,0.9938095238095238
161.0,0.9791619047619048,0.9802380952380951,0.9933333333333333
162.0,0.977409523809524,0.9797619047619048,0.9942857142857143
163.0,0.9795428571428573,0.9804761904761904,0.9938095238095238
164.0,0.9769333333333333,0.9788095238095238,0.9919047619047618
165.0,0.9712476190476189,0.9759523809523809,0.9923809523809523
166.0,0.9794952380952382,0.98,0.9947619047619048
167.0,0.9592761904761903,0.9773809523809522,0.9914285714285714
168.0,0.9806285714285714,0.981904761904762,0.991904761904762
169.0,0.9785238095238094,0.9807142857142856,0.991904761904762
170.0,0.9794571428571429,0.9804761904761904,0.9957142857142857
171.0,0.9727809523809523,0.9771428571428572,0.9938095238095238
172.0,0.9767714285714287,0.9814285714285715,0.9933333333333333
173.0,0.9762190476190475,0.9776190476190476,0.9899999999999999
174.0,0.9805142857142858,0.9838095238095238,0.9942857142857143
175.0,0.9776571428571428,0.9792857142857143,0.9947619047619046
176.0,0.9766761904761904,0.9776190476190476,0.9961904761904762
177.0,0.9733428571428572,0.9795238095238096,0.9933333333333333
178.0,0.9795047619047618,0.981904761904762,0.9928571428571429
179.0,0.9796476190476191,0.9828571428571428,0.9938095238095238
180.0,0.9790095238095238,0.9828571428571428,0.9947619047619048
181.0,0.9776380952380953,0.9807142857142858,0.9919047619047618
182.0,0.9778,0.9807142857142856,0.991904761904762
183.0,0.9761142857142856,0.9828571428571428,0.9938095238095238
184.0,0.9776190476190476,0.9811904761904762,0.9928571428571429
185.0,0.9809619047619046,0.9826190476190475,0.9947619047619048
186.0,0.9775714285714284,0.9821428571428572,0.9933333333333333
187.0,0.972,0.9788095238095238,0.9957142857142857
188.0,0.9811999999999997,0.9833333333333334,0.9952380952380953
189.0,0.9704761904761904,0.9804761904761904,0.9938095238095238
190.0,0.9797333333333335,0.9816666666666667,0.9985714285714286
191.0,0.9779428571428573,0.9785714285714286,0.9928571428571429
192.0,0.9784571428571428,0.9811904761904762,0.9952380952380953
193.0,0.9805047619047619,0.9828571428571429,0.9957142857142857
194.0,0.9798857142857144,0.9835714285714285,0.9957142857142857
195.0,0.9814285714285715,0.9847619047619047,0.9947619047619048
196.0,0.9808761904761905,0.9838095238095238,0.9957142857142857
197.0,0.9800666666666668,0.9814285714285714,0.998095238095238
198.0,0.9784666666666666,0.98,0.9942857142857143
199.0,0.9814857142857142,0.9833333333333333,0.9928571428571429
