generation,average,best,worst
131,0.9966952380952381,1.0,0.8971428571428571
132,0.9969428571428571,1.0,0.8471428571428571
133,0.9978476190476191,1.0,0.9357142857142856
134,0.9940285714285715,1.0,0.7347619047619047
135,0.9998952380952381,1.0,0.9947619047619048
136,0.9986571428571429,1.0,0.9504761904761905
137,0.9995238095238095,1.0,0.9814285714285714
138,1.0,1.0,1.0
139,0.9992190476190476,1.0,0.9614285714285714
140,0.9965809523809525,1.0,0.8471428571428571
141,0.9961142857142857,1.0,0.8471428571428571
142,0.9824761904761905,1.0,0.19000000000000003
143,0.9945999999999999,1.0,0.8471428571428571
144,0.9988190476190476,1.0,0.9704761904761905
145,0.9988285714285715,1.0,0.9714285714285715
146,0.9990000000000001,1.0,0.9614285714285714
147,0.9861047619047619,1.0,0.31857142857142856
148,0.9981809523809524,1.0,0.9314285714285715
149,0.9987619047619047,1.0,0.9704761904761905
150,0.9830380952380952,1.0,0.19000000000000003
151,0.9997619047619049,1.0,0.9885714285714285
152,0.9831428571428572,1.0,0.19000000000000003
153,0.9993523809523809,1.0,0.9771428571428572
154,0.9989428571428571,1.0,0.9814285714285714
155,0.9989238095238094,1.0,0.9709523809523809
156,0.9996380952380953,1.0,0.9885714285714285
157,0.9838,1.0,0.19000000000000003
158,0.9987904761904762,1.0,0.9742857142857142
159,0.9989238095238094,1.0,0.9642857142857143
160,0.9974761904761905,1.0,0.9257142857142857
161,0.9980476190476191,1.0,0.9357142857142856
162,0.9990095238095238,1.0,0.9504761904761905
163,0.9997142857142858,1.0,0.9890476190476191
164,0.998704761904762,1.0,0.9614285714285714
165,0.9996571428571428,1.0,0.9828571428571428
166,0.9999333333333333,1.0,0.9966666666666667
167,0.9828285714285714,1.0,0.1876190476190476
168,0.9997809523809523,1.0,0.9890476190476191
169,0.9989428571428571,1.0,0.9614285714285714
170,0.9974666666666667,1.0,0.9257142857142857
171,0.9983904761904762,1.0,0.980952380952381
172,0.9994380952380952,1.0,0.9771428571428572
173,0.9981142857142856,1.0,0.9357142857142856
174,0.9927619047619047,1.0,0.6547619047619048
175,0.998952380952381,1.0,0.9761904761904762
176,0.9994285714285716,1.0,0.9714285714285715
177,0.9998285714285714,1.0,0.9957142857142857
178,0.9993142857142857,1.0,0.9866666666666667
179,0.9952190476190477,1.0,0.8328571428571429
180,0.9993714285714286,1.0,0.9804761904761904
181,0.9814095238095238,1.0,0.2142857142857143
182,0.9992285714285714,1.0,0.9614285714285714
183,0.9985428571428571,1.0,0.9709523809523809
184,0.9959428571428571,1.0,0.8971428571428571
185,0.9832857142857142,1.0,0.1876190476190476
186,0.9998190476190476,1.0,0.9942857142857143
187,0.9986285714285714,1.0,0.9314285714285715
188,0.9990857142857144,1.0,0.9776190476190476
189,0.9994761904761904,1.0,0.9738095238095238
190,0.9964380952380952,1.0,0.8852380952380953
191,0.9988190476190476,1.0,0.9709523809523809
192,0.996352380952381,1.0,0.8314285714285714
193,0.9996380952380953,1.0,0.9857142857142858
194,0.984095238095238,1.0,0.2142857142857143
195,0.9967142857142858,1.0,0.8471428571428571
196,0.9973809523809524,1.0,0.8733333333333334
197,1.0,1.0,1.0
198,0.9989809523809524,1.0,0.9714285714285715
199,0.9995428571428572,1.0,0.980952380952381
